window,max_nodes,best_mse
168,5,0.0513208084208452
168,10,0.0450774379975571
168,15,0.0376915443260378
168,20,0.0363183591127956
168,25,0.03279336145106
168,30,0.0318955686838185
168,35,0.0296069494600559
168,40,0.0288253822505313
168,45,0.0232725017792267
168,50,0.0232427242907027
168,55,0.0213154772748744
168,60,0.0186346139627896
168,65,0.0183494223733948
168,70,0.0182195479239876
168,75,0.0178375054333318
168,80,0.0167561287724305
168,85,0.0146669764940757
168,90,0.0144117260360407
168,95,0.014230729516606
168,100,0.0130819895507344
168,105,0.0115949364835078
168,115,0.0100717369434506
168,125,0.0105576849170503
168,135,0.0099691081114338
168,145,0.0100149255476693
168,150,0.0099425724449312
168,155,0.0094275891664025
168,165,0.0093044134872076
168,175,0.0089563742536988
168,185,0.0087296016615702
168,195,0.0086788174918948
168,200,0.0086043087260457
192,5,0.0510294374800813
192,10,0.0447853036965726
192,15,0.0374372559946505
192,20,0.0360973852380651
192,25,0.0326032697371069
192,30,0.0317134204420822
192,35,0.0294493779173946
192,40,0.0286760953347405
192,45,0.0231805702778514
192,50,0.0231516592784554
192,55,0.0212168590966325
192,60,0.0185716088902525
192,65,0.0182881537528682
192,70,0.0181619846326747
192,75,0.017782507971094
192,80,0.0167131192331492
192,85,0.0146412575177444
192,90,0.0143916701983764
192,95,0.0142166758512795
192,100,0.0130722192468053
192,105,0.0116014409928092
192,115,0.0100975037374044
192,125,0.0105566011642086
192,135,0.0099798964209864
192,145,0.010026093952791
192,150,0.009955669967955
192,155,0.0094479022718297
192,165,0.0093293164889391
192,175,0.008990288526423
192,185,0.0087633934782212
192,195,0.0087122930931494
192,200,0.0086366355166672
216,5,0.0508765779388989
216,10,0.04464297074678
216,15,0.0373160709144521
216,20,0.0359889902189586
216,25,0.0325071544496689
216,30,0.0316180782799954
216,35,0.0293670597262916
216,40,0.0285970929226542
216,45,0.0231268656286414
216,50,0.0230982072043114
216,55,0.0211740136388006
216,60,0.018536372198532
216,65,0.0182541260758615
216,70,0.0181294624612106
216,75,0.017750418567597
216,80,0.0166817728889183
216,85,0.01461895492452
216,90,0.0143688442285052
216,95,0.0141957915868847
216,100,0.0130540128292302
216,105,0.0115897406247178
216,115,0.0100931807518347
216,125,0.010546048124728
216,135,0.0099727796334132
216,145,0.0100186701480752
216,150,0.0099485336745984
216,155,0.0094432895066905
216,165,0.009325733489653
216,175,0.008989818613647
216,185,0.0087635546521012
216,195,0.0087122460926263
216,200,0.0086366015169103
240,5,0.0519674313045934
240,10,0.0456610330193775
240,15,0.0381844207844534
240,20,0.0367655499525845
240,25,0.0331950496306688
240,30,0.0323004241240676
240,35,0.0299556045433989
240,40,0.0291611054505668
240,45,0.0235107894969089
240,50,0.023480151141028
240,55,0.0214813347474448
240,60,0.0187884726287554
240,65,0.018497574264277
240,70,0.0183617069807131
240,75,0.0179797097974264
240,80,0.0169057205058913
240,85,0.0147783238641877
240,90,0.0145317613517827
240,95,0.0143442556059021
240,100,0.0131836068445004
240,105,0.0116730557450799
240,115,0.0101226927729995
240,125,0.0106207194697423
240,135,0.0100227539635476
240,145,0.0100708919284094
240,150,0.0099986565966196
240,155,0.0094751225098846
240,165,0.0093501729785351
240,175,0.0089917468952888
240,185,0.0087610568597099
240,195,0.0087111217629337
240,200,0.0086355041933395
264,5,0.0508884967162495
264,10,0.0446697238134547
264,15,0.0373378204118009
264,20,0.0359910808069194
264,25,0.0325080822471158
264,30,0.0316023186082119
264,35,0.0293517366622077
264,40,0.0285781480479114
264,45,0.023090318776611
264,50,0.0230610184905559
264,55,0.0211679377677489
264,60,0.0185019720001094
264,65,0.0182167300060545
264,70,0.0180839972120286
264,75,0.0177050652677331
264,80,0.0166393287690204
264,85,0.014574766367716
264,90,0.0143190425864485
264,95,0.0141430811975595
264,100,0.0130015770731492
264,105,0.0115336970758933
264,115,0.0100299171468565
264,125,0.010493162161646
264,135,0.009917040954032
264,145,0.0099619656229576
264,150,0.0098901227267274
264,155,0.0093766779652424
264,165,0.0092558493511198
264,175,0.0089126173977587
264,185,0.0086882686720628
264,195,0.008636861132903
264,200,0.0085631872391435
