max_nodes,best_mae,best_mse,best_r2,strategy,strategy_short,min_improvement,file
5,0.16643315192230618,0.05096846345626221,-0.09537120032861114,StrategySelective,Selective,0.01,bike_hour_h216_n005__20260417_161357.jld2
10,0.14796975137108284,0.04464297074678005,0.06295956542998495,StrategySelective,Selective,0.0001,bike_hour_h216_n010__20260417_161357.jld2
15,0.1246902967536578,0.037316070914452104,0.2178296907940229,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h216_n015__20260417_161357.jld2
20,0.11917736934797335,0.0360910575384368,0.23740724429966825,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-5,bike_hour_h216_n020__20260417_161357.jld2
25,0.11782841963380664,0.03498122332409095,0.2580392107653745,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h216_n025__20260417_161357.jld2
30,0.11466467334784024,0.03160231860821198,0.3400435199582673,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-5,bike_hour_h264_n030__20260417_163504.jld2
35,0.11448577077984437,0.029351736662207716,0.3754426580495586,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-5,bike_hour_h264_n035__20260417_163504.jld2
40,0.11287636585841317,0.028578148047911492,0.39047409760388724,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-5,bike_hour_h264_n040__20260417_163504.jld2
45,0.10327096370819928,0.023946445846483012,0.4651180146283182,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-7,bike_hour_h216_n045__20260417_161357.jld2
50,0.1027659329434612,0.023211295887790848,0.49509040106479896,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-7,bike_hour_h264_n050__20260417_163504.jld2
55,0.09992270244653989,0.02116793776774897,0.5212589700417181,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-7,bike_hour_h264_n055__20260417_163504.jld2
60,0.09548272604802162,0.018501972000109456,0.5866816771746732,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-7,bike_hour_h264_n060__20260417_163504.jld2
65,0.09413095760977247,0.018216730006054574,0.5927888143338457,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-7,bike_hour_h264_n065__20260417_163504.jld2
70,0.09162637438244849,0.018291495232703556,0.5909527418001083,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n070__20260417_163504.jld2
75,0.08952463843679233,0.017939277429296456,0.6076230503553407,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n075__20260417_163504.jld2
80,0.08737023850424022,0.01663932876902049,0.6285093883682996,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n080__20260417_163504.jld2
85,0.08685450663552344,0.014574766367716043,0.6649423763091908,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n085__20260417_163504.jld2
90,0.08593617377501406,0.014319042586448595,0.6734612279779596,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n090__20260417_163504.jld2
95,0.08558462573325698,0.014143081197559535,0.6757950796032172,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n095__20260417_163504.jld2
100,0.08292241977799181,0.013001577073149218,0.7010628024320432,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n100__20260417_163504.jld2
105,0.07684708624721584,0.011533697075893301,0.7302261432025061,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n105__20260417_163504.jld2
115,0.07210260363707104,0.010029917146856547,0.7583526063573459,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n115__20260417_163504.jld2
125,0.07412614905639785,0.010493162161646016,0.7552626076605828,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h264_n125__20260417_163504.jld2
135,0.07343540815633284,0.009917040954032001,0.7618790390362682,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h264_n135__20260417_163504.jld2
145,0.07340628107687651,0.009961965622957631,0.7604728975630302,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h264_n145__20260417_163504.jld2
150,0.07307779002368606,0.009890122726727468,0.7620717709192196,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h264_n150__20260417_163504.jld2
155,0.0714882446156109,0.009376677965242428,0.7734432505722402,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h264_n155__20260417_163505.jld2
165,0.07040232613847978,0.009697516880274658,0.7711871026816086,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n165__20260417_163505.jld2
175,0.07001037952388373,0.008912617397758739,0.779771872552139,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h264_n175__20260417_163505.jld2
185,0.06895072766174472,0.008688268672062852,0.7844899513828124,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,0.0001,bike_hour_h264_n185__20260417_163505.jld2
195,0.06821295745669392,0.009150996232588464,0.7811578835039324,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n195__20260417_163505.jld2
200,0.06804794991510338,0.009160554142110762,0.7807841185388844,StrategySelectiveWithConstantOptimization,Selective+ConstOpt,1.0e-6,bike_hour_h264_n200__20260417_163505.jld2
